OrderID,OrderStatus,TotalPrice,OrderTime,UserID,SpecialInstructions,CancellationReason
1,Pending,353.27,2024-12-27 03:37:05.442195,1,Extra spicy,Restaurant issue
2,Completed,379.54,2024-12-28 17:37:05.442221,1,Separate packaging,N/A
3,Cancelled,405.31,2024-12-24 20:37:05.442228,1,"No onions, please",Customer request
4,Cancelled,416.39,2024-12-05 20:37:05.442236,2,"No onions, please",N/A
5,Pending,294.74,2024-11-18 07:37:05.442242,2,Separate packaging,N/A
6,Pending,341.9,2024-12-08 05:37:05.442249,2,Extra spicy,Restaurant issue
7,Completed,260.48,2024-11-23 16:37:05.442258,3,Separate packaging,Restaurant issue
8,Pending,403.44,2024-12-31 19:37:05.442267,3,"No onions, please",N/A
9,Cancelled,361.64,2024-12-20 22:37:05.442273,3,Separate packaging,N/A
10,Completed,163.24,2024-12-11 22:37:05.442279,4,"No onions, please",N/A
11,Cancelled,393.41,2024-11-13 16:37:05.442285,4,Separate packaging,N/A
12,Pending,364.19,2024-12-15 06:37:05.442290,4,Extra spicy,Customer request
13,Completed,491.59,2024-11-13 15:37:05.442297,5,Separate packaging,Restaurant issue
14,Completed,123.28,2024-11-04 09:37:05.442305,5,No special instructions,Restaurant issue
15,Completed,135.29,2024-12-14 15:37:05.442315,5,"No onions, please",Restaurant issue
16,Completed,438.18,2024-11-13 14:37:05.442326,6,"No onions, please",N/A
17,Pending,364.3,2024-11-15 08:37:05.442333,6,Extra spicy,N/A
18,Completed,101.13,2024-12-06 14:37:05.442338,6,"No onions, please",N/A
19,Cancelled,443.28,2024-11-10 09:37:05.442344,7,No special instructions,Restaurant issue
20,Pending,445.34,2024-11-06 02:37:05.442350,7,Separate packaging,N/A
21,Cancelled,254.59,2024-12-09 23:37:05.442355,7,"No onions, please",Restaurant issue
22,Cancelled,178.01,2024-12-08 16:37:05.442361,8,No special instructions,Customer request
23,Cancelled,109.97,2024-11-24 06:37:05.442367,8,"No onions, please",N/A
24,Pending,175.28,2024-11-17 22:37:05.442372,8,Separate packaging,N/A
25,Completed,467.8,2024-11-30 02:37:05.442378,9,"No onions, please",N/A
